DIRECTED
73 219
Z1 Z6 19
Z1 Z21 804
Z1 Z54 7
Z2 Z14 731
Z2 Z33 52
Z2 Z71 918
Z3 Z8 48
Z3 Z19 640
Z3 Z46 277
Z4 Z2 881
Z4 Z25 5
Z4 Z59 34
Z5 Z17 812
Z5 Z40 13
Z5 Z68 506
Z6 Z11 97
Z6 Z27 662
Z6 Z43 21
Z7 Z9 39
Z7 Z31 204
Z7 Z52 770
Z8 Z4 145
Z8 Z18 639
Z8 Z63 8
Z9 Z12 950
Z9 Z23 13
Z9 Z57 64
Z10 Z5 450
Z10 Z36 71
Z10 Z72 3
Z11 Z16 889
Z11 Z29 6
Z11 Z41 318
Z12 Z7 875
Z12 Z24 42
Z12 Z66 117
Z13 Z2 25
Z13 Z20 118
Z13 Z55 703
Z14 Z10 9
Z14 Z34 41
Z14 Z60 582
Z15 Z3 502
Z15 Z27 74
Z15 Z44 166
Z16 Z6 12
Z16 Z37 77
Z16 Z58 931
Z17 Z15 50
Z17 Z22 943
Z17 Z49 407
Z18 Z1 24
Z18 Z38 618
Z18 Z64 83
Z19 Z12 5
Z19 Z26 368
Z19 Z70 291
Z20 Z8 126
Z20 Z41 9
Z20 Z56 744
Z21 Z17 20
Z21 Z30 615
Z21 Z61 858
Z22 Z3 907
Z22 Z11 47
Z22 Z45 82
Z23 Z19 147
Z23 Z51 64
Z23 Z66 2
Z24 Z7 915
Z24 Z28 339
Z24 Z32 730
Z25 Z13 16
Z25 Z39 580
Z25 Z72 109
Z26 Z4 905
Z26 Z14 641
Z26 Z57 27
Z27 Z6 813
Z27 Z20 54
Z27 Z47 39
Z28 Z9 476
Z28 Z35 284
Z28 Z62 11
Z29 Z16 951
Z29 Z25 92
Z29 Z53 6
Z30 Z2 58
Z30 Z18 140
Z30 Z69 705
Z31 Z24 11
Z31 Z42 265
Z31 Z71 899
Z32 Z5 38
Z32 Z15 644
Z32 Z48 73
Z33 Z12 17
Z33 Z26 83
Z33 Z60 918
Z34 Z21 4
Z34 Z40 208
Z34 Z67 720
Z35 Z13 551
Z35 Z28 7
Z35 Z52 96
Z36 Z1 430
Z36 Z30 62
Z36 Z44 879
Z37 Z33 146
Z37 Z45 821
Z37 Z58 15
Z38 Z10 32
Z38 Z20 497
Z38 Z64 903
Z39 Z17 590
Z39 Z29 276
Z39 Z53 19
Z40 Z8 44
Z40 Z31 95
Z40 Z70 807
Z41 Z23 222
Z41 Z49 13
Z41 Z63 610
Z42 Z6 467
Z42 Z34 8
Z42 Z56 933
Z43 Z15 120
Z43 Z27 802
Z43 Z52 61
Z44 Z12 26
Z44 Z37 745
Z44 Z69 5
Z45 Z18 400
Z45 Z24 111
Z45 Z60 788
Z46 Z5 676
Z46 Z33 257
Z46 Z71 14
Z47 Z2 929
Z47 Z39 48
Z47 Z55 70
Z48 Z14 930
Z48 Z21 546
Z48 Z66 31
Z49 Z11 682
Z49 Z38 9
Z49 Z57 17
Z50 Z8 385
Z50 Z29 53
Z50 Z73 904
Z51 Z19 217
Z51 Z35 64
Z51 Z47 12
Z52 Z25 506
Z52 Z43 721
Z52 Z64 98
Z53 Z1 29
Z53 Z26 844
Z53 Z41 63
Z54 Z7 799
Z54 Z30 144
Z54 Z45 7
Z55 Z16 998
Z55 Z22 318
Z55 Z59 42
Z56 Z20 53
Z56 Z32 610
Z56 Z48 15
Z57 Z9 87
Z57 Z38 209
Z57 Z67 942
Z58 Z13 371
Z58 Z24 6
Z58 Z46 815
Z59 Z4 34
Z59 Z31 118
Z59 Z54 760
Z60 Z10 25
Z60 Z42 690
Z60 Z63 577
Z61 Z21 91
Z61 Z36 47
Z61 Z50 803
Z62 Z15 132
Z62 Z28 260
Z62 Z44 5
Z63 Z18 7
Z63 Z61 468
Z63 Z72 901
Z64 Z23 29
Z64 Z33 642
Z64 Z57 54
Z65 Z12 995
Z65 Z26 68
Z65 Z40 104
Z66 Z7 489
Z66 Z34 11
Z66 Z49 216
Z67 Z5 84
Z67 Z39 730
Z67 Z52 21
Z68 Z15 836
Z68 Z28 61
Z68 Z46 307
Z69 Z2 645
Z69 Z24 156
Z69 Z60 19
Z70 Z8 2
Z70 Z41 478
Z70 Z53 703
Z71 Z17 95
Z71 Z29 44
Z71 Z66 887
Z72 Z5 925
Z72 Z38 136
Z72 Z56 710
Z73 Z1 552
Z73 Z11 268
Z73 Z47 33
