DIRECTED
16 100
A B -4.5
A H -1.5
A I 4.5
A J 6.25
A K -7.5
A P -4.5
B C -9.25
B E -3.75
B G -9.25
B I 6.25
B J 2.5
B M 6.25
B O 0.5
C D 1.5
C G 3.75
C H 0.75
C L 0.25
C N 6.25
C P 2.5
D A -4.5
D B -0.25
D E 4.5
D H 1.5
D N 3.75
E C 7.5
E F -0.25
E G 2.5
E J -3.75
E K 3.75
E N 1.25
E O 9.25
E P 3.75
F C 1.5
F D -3.75
F E -1.25
F G -7.5
F L 9.25
F M -1.5
F N 6.25
F P 3.75
G C 0.5
G D 0.75
G H -0.5
G J -4.5
G K 4.5
G P 7.5
H B 1.25
H D 0.25
H F -0.25
H I 0.25
H J 0.5
H L 1.5
I B -4.5
I C 0.25
I D 0.5
I G 0.25
I J 1.25
I L 3.75
I O 4.5
J E -4.5
J H 0.25
J I 0.5
J K 0.25
K A 3.75
K G 6.25
K L 0.75
K M 1.5
L A 0.25
L C 1.25
L D 4.5
L F 0.25
L G -4.5
L H -0.5
L J 9.25
L M 4.5
L N 9.25
L P 2.5
M A -9.25
M B -0.25
M E -6.25
M G 0.5
M I -4.5
M L 1.5
M N 2.5
M P 9.25
N D 0.5
N F 9.25
N G 2.5
N O 0.75
O A 7.5
O C 3.75
O D 0.25
O K -7.5
O N -4.5
O P 7.5
P A 2.5
P C 1.25
P H 4.5
P J -9.25
P O -2.5
