UNDIRECTED
60 59
Y1 Y2 1
Y1 Y3 1
Y2 Y4 1
Y2 Y5 1
Y3 Y6 1
Y4 Y7 1
Y5 Y8 1
Y6 Y9 1
Y7 Y10 1
Y8 Y11 1
Y9 Y12 1
Y10 Y13 1
Y11 Y14 1
Y12 Y15 1
Y13 Y16 1
Y14 Y17 1
Y15 Y18 1
Y16 Y19 1
Y17 Y20 1
Y18 Y21 1
Y19 Y22 1
Y20 Y23 1
Y21 Y24 1
Y22 Y25 1
Y23 Y26 1
Y24 Y27 1
Y25 Y28 1
Y26 Y29 1
Y27 Y30 1
Y28 Y31 1
Y29 Y32 1
Y30 Y33 1
Y31 Y34 1
Y32 Y35 1
Y33 Y36 1
Y34 Y37 1
Y35 Y38 1
Y36 Y39 1
Y37 Y40 1
Y38 Y41 1
Y39 Y42 1
Y40 Y43 1
Y41 Y44 1
Y42 Y45 1
Y43 Y46 1
Y44 Y47 1
Y45 Y48 1
Y46 Y49 1
Y47 Y50 1
Y48 Y51 1
Y49 Y52 1
Y50 Y53 1
Y51 Y54 1
Y52 Y55 1
Y53 Y56 1
Y54 Y57 1
Y55 Y58 1
Y56 Y59 1
Y57 Y60 1
