Graph 11: an undirected simple sparse graph with 60 vertices named Y1 through Y60.

Incident description:
- Y1 is incident to Y2, Y3, with weights 1, 1 respectively.
- Y2 is incident to Y1, Y4, Y5, with weights 1, 1, 1 respectively.
- Y3 is incident to Y1, Y6, with weights 1, 1 respectively.
- Y4 is incident to Y2, Y7, with weights 1, 1 respectively.
- Y5 is incident to Y2, Y8, with weights 1, 1 respectively.
- Y6 is incident to Y3, Y9, with weights 1, 1 respectively.
- Y7 is incident to Y4, Y10, with weights 1, 1 respectively.
- Y8 is incident to Y5, Y11, with weights 1, 1 respectively.
- Y9 is incident to Y6, Y12, with weights 1, 1 respectively.
- Y10 is incident to Y7, Y13, with weights 1, 1 respectively.
- Y11 is incident to Y8, Y14, with weights 1, 1 respectively.
- Y12 is incident to Y9, Y15, with weights 1, 1 respectively.
- Y13 is incident to Y10, Y16, with weights 1, 1 respectively.
- Y14 is incident to Y11, Y17, with weights 1, 1 respectively.
- Y15 is incident to Y12, Y18, with weights 1, 1 respectively.
- Y16 is incident to Y13, Y19, with weights 1, 1 respectively.
- Y17 is incident to Y14, Y20, with weights 1, 1 respectively.
- Y18 is incident to Y15, Y21, with weights 1, 1 respectively.
- Y19 is incident to Y16, Y22, with weights 1, 1 respectively.
- Y20 is incident to Y17, Y23, with weights 1, 1 respectively.
- Y21 is incident to Y18, Y24, with weights 1, 1 respectively.
- Y22 is incident to Y19, Y25, with weights 1, 1 respectively.
- Y23 is incident to Y20, Y26, with weights 1, 1 respectively.
- Y24 is incident to Y21, Y27, with weights 1, 1 respectively.
- Y25 is incident to Y22, Y28, with weights 1, 1 respectively.
- Y26 is incident to Y23, Y29, with weights 1, 1 respectively.
- Y27 is incident to Y24, Y30, with weights 1, 1 respectively.
- Y28 is incident to Y25, Y31, with weights 1, 1 respectively.
- Y29 is incident to Y26, Y32, with weights 1, 1 respectively.
- Y30 is incident to Y27, Y33, with weights 1, 1 respectively.
- Y31 is incident to Y28, Y34, with weights 1, 1 respectively.
- Y32 is incident to Y29, Y35, with weights 1, 1 respectively.
- Y33 is incident to Y30, Y36, with weights 1, 1 respectively.
- Y34 is incident to Y31, Y37, with weights 1, 1 respectively.
- Y35 is incident to Y32, Y38, with weights 1, 1 respectively.
- Y36 is incident to Y33, Y39, with weights 1, 1 respectively.
- Y37 is incident to Y34, Y40, with weights 1, 1 respectively.
- Y38 is incident to Y35, Y41, with weights 1, 1 respectively.
- Y39 is incident to Y36, Y42, with weights 1, 1 respectively.
- Y40 is incident to Y37, Y43, with weights 1, 1 respectively.
- Y41 is incident to Y38, Y44, with weights 1, 1 respectively.
- Y42 is incident to Y39, Y45, with weights 1, 1 respectively.
- Y43 is incident to Y40, Y46, with weights 1, 1 respectively.
- Y44 is incident to Y41, Y47, with weights 1, 1 respectively.
- Y45 is incident to Y42, Y48, with weights 1, 1 respectively.
- Y46 is incident to Y43, Y49, with weights 1, 1 respectively.
- Y47 is incident to Y44, Y50, with weights 1, 1 respectively.
- Y48 is incident to Y45, Y51, with weights 1, 1 respectively.
- Y49 is incident to Y46, Y52, with weights 1, 1 respectively.
- Y50 is incident to Y47, Y53, with weights 1, 1 respectively.
- Y51 is incident to Y48, Y54, with weights 1, 1 respectively.
- Y52 is incident to Y49, Y55, with weights 1, 1 respectively.
- Y53 is incident to Y50, Y56, with weights 1, 1 respectively.
- Y54 is incident to Y51, Y57, with weights 1, 1 respectively.
- Y55 is incident to Y52, Y58, with weights 1, 1 respectively.
- Y56 is incident to Y53, Y59, with weights 1, 1 respectively.
- Y57 is incident to Y54, Y60, with weights 1, 1 respectively.
- Y58 is incident to Y55, with weights 1 respectively.
- Y59 is incident to Y56, with weights 1 respectively.
- Y60 is incident to Y57, with weights 1 respectively.
